,Date,Open,High,Low,Close,Volume,Ema9,Ema15,EmaStatus,Call,Diff,info
88,2023-10-30 13:15:00,564.4,564.5,563.0,563.3,1352543,560.74,559.21,UP,HOLD,1.5299999999999727,"[1.2300000000000182, 1.5299999999999727]"
89,2023-10-30 14:15:00,563.35,564.65,562.35,564.3,1886614,561.45,559.84,UP,HOLD,1.6100000000000136,"[1.4800000000000182, 1.6100000000000136]"
90,2023-10-30 15:15:00,564.35,566.7,564.25,566.2,884740,562.4,560.64,UP,HOLD,1.759999999999991,"[1.5299999999999727, 1.759999999999991]"
91,2023-10-31 09:15:00,567.0,569.0,565.5,567.9,2501626,563.5,561.55,UP,HOLD,1.9500000000000455,"[1.6100000000000136, 1.9500000000000455]"
92,2023-10-31 10:15:00,568.05,569.5,565.8,568.1,2246580,564.42,562.37,UP,HOLD,2.0499999999999545,"[1.759999999999991, 2.0499999999999545]"
93,2023-10-31 11:15:00,568.1,568.65,563.55,563.7,2022936,564.28,562.53,UP,HOLD,1.75,"[1.9500000000000455, 1.75]"
94,2023-10-31 12:15:00,563.75,565.6,563.15,564.2,1266324,564.26,562.74,UP,HOLD,1.5199999999999818,"[2.0499999999999545, 1.5199999999999818]"
95,2023-10-31 13:15:00,564.2,566.2,563.6,566.15,1166212,564.64,563.17,UP,HOLD,1.4700000000000273,"[1.75, 1.4700000000000273]"
96,2023-10-31 14:15:00,566.15,568.25,564.4,565.9,2919757,564.89,563.51,UP,HOLD,1.3799999999999955,"[1.5199999999999818, 1.3799999999999955]"
97,2023-10-31 15:15:00,566.0,566.35,564.7,565.25,883090,564.96,563.73,UP,HOLD,1.2300000000000182,"[1.4700000000000273, 1.2300000000000182]"
98,2023-11-01 09:15:00,566.25,568.55,563.85,568.3,2669050,565.63,564.3,UP,HOLD,1.330000000000041,"[1.3799999999999955, 1.330000000000041]"
99,2023-11-01 10:15:00,568.35,569.65,566.6,567.55,2206204,566.01,564.7,UP,HOLD,1.3099999999999454,"[1.2300000000000182, 1.3099999999999454]"
100,2023-11-01 11:15:00,567.55,568.75,566.8,568.3,1250724,566.47,565.15,UP,HOLD,1.32000000000005,"[1.330000000000041, 1.32000000000005]"
101,2023-11-01 12:15:00,568.2,569.1,566.7,567.95,2078751,566.77,565.5,UP,HOLD,1.2699999999999818,"[1.3099999999999454, 1.2699999999999818]"
102,2023-11-01 13:15:00,567.95,568.65,565.35,567.0,1684700,566.81,565.69,UP,HOLD,1.1199999999998909,"[1.32000000000005, 1.1199999999998909]"
103,2023-11-01 14:15:00,567.0,567.85,565.7,566.15,2928933,566.68,565.75,UP,HOLD,0.92999999999995,"[1.2699999999999818, 0.92999999999995]"
104,2023-11-01 15:15:00,565.95,567.45,565.35,567.3,738464,566.8,565.94,UP,HOLD,0.8599999999999,"[1.1199999999998909, 0.8599999999999]"
105,2023-11-02 09:15:00,571.1,574.5,571.0,572.8,2263575,568.0,566.8,UP,HOLD,1.2000000000000455,"[0.92999999999995, 1.2000000000000455]"
106,2023-11-02 10:15:00,572.85,575.45,570.8,571.55,1286312,568.71,567.39,UP,HOLD,1.32000000000005,"[0.8599999999999, 1.32000000000005]"
107,2023-11-02 11:15:00,571.5,571.55,567.6,568.95,1776572,568.76,567.59,UP,HOLD,1.169999999999959,"[1.2000000000000455, 1.169999999999959]"
108,2023-11-02 12:15:00,568.85,570.95,568.0,570.75,1838053,569.16,567.98,UP,HOLD,1.17999999999995,"[1.32000000000005, 1.17999999999995]"
109,2023-11-02 13:15:00,570.75,571.85,569.55,571.15,1157906,569.56,568.38,UP,HOLD,1.17999999999995,"[1.169999999999959, 1.17999999999995]"
110,2023-11-02 14:15:00,571.15,572.95,571.0,571.7,2246193,569.99,568.79,UP,HOLD,1.2000000000000455,"[1.17999999999995, 1.2000000000000455]"
111,2023-11-02 15:15:00,571.7,572.5,571.35,572.0,533950,570.39,569.19,UP,HOLD,1.1999999999999318,"[1.17999999999995, 1.1999999999999318]"
112,2023-11-03 09:15:00,576.0,577.0,573.45,576.9,2230725,571.69,570.16,UP,HOLD,1.5300000000000864,"[1.2000000000000455, 1.5300000000000864]"
113,2023-11-03 10:15:00,576.9,578.65,576.35,577.75,2151904,572.9,571.11,UP,HOLD,1.7899999999999636,"[1.1999999999999318, 1.7899999999999636]"
114,2023-11-03 11:15:00,577.75,578.3,577.0,577.25,1651136,573.77,571.87,UP,HOLD,1.8999999999999773,"[1.5300000000000864, 1.8999999999999773]"
115,2023-11-03 12:15:00,577.25,578.9,577.0,578.15,1276724,574.65,572.66,UP,HOLD,1.990000000000009,"[1.7899999999999636, 1.990000000000009]"
116,2023-11-03 13:15:00,578.2,578.6,577.3,578.15,1073540,575.35,573.35,UP,HOLD,2.0,"[1.8999999999999773, 2.0]"
117,2023-11-03 14:15:00,578.15,578.3,576.75,577.8,1804435,575.84,573.9,UP,HOLD,1.9400000000000546,"[1.990000000000009, 1.9400000000000546]"
118,2023-11-03 15:15:00,577.85,579.5,577.7,579.0,1149439,576.47,574.54,UP,HOLD,1.9300000000000637,"[2.0, 1.9300000000000637]"
119,2023-11-06 09:15:00,582.0,582.5,575.15,576.2,4550678,576.42,574.75,UP,HOLD,1.669999999999959,"[1.9400000000000546, 1.669999999999959]"
120,2023-11-06 10:15:00,576.2,576.35,573.25,573.75,2212431,575.88,574.62,UP,HOLD,1.259999999999991,"[1.9300000000000637, 1.259999999999991]"
121,2023-11-06 11:15:00,573.7,576.2,573.4,574.85,2631467,575.68,574.65,UP,HOLD,1.0299999999999727,"[1.669999999999959, 1.0299999999999727]"
122,2023-11-06 12:15:00,574.8,576.0,573.65,574.05,1243513,575.35,574.58,UP,HOLD,0.7699999999999818,"[1.259999999999991, 0.7699999999999818]"
123,2023-11-06 13:15:00,573.95,575.75,573.75,575.2,1343355,575.32,574.65,UP,HOLD,0.6700000000000728,"[1.0299999999999727, 0.6700000000000728]"
124,2023-11-06 14:15:00,575.05,576.05,574.0,574.5,2988220,575.16,574.63,UP,HOLD,0.5299999999999727,"[0.7699999999999818, 0.5299999999999727]"
125,2023-11-06 15:15:00,574.4,574.95,573.8,574.1,1379104,574.95,574.57,UP,HOLD,0.37999999999999545,"[0.6700000000000728, 0.37999999999999545]"
126,2023-11-07 09:15:00,574.8,577.7,572.6,577.45,2853851,575.45,574.93,UP,HOLD,0.5200000000000955,"[0.5299999999999727, 0.5200000000000955]"
127,2023-11-07 10:15:00,577.5,578.45,576.05,576.75,3168009,575.71,575.16,UP,HOLD,0.5500000000000682,"[0.37999999999999545, 0.5500000000000682]"
128,2023-11-07 11:15:00,576.75,577.9,574.9,576.5,2712444,575.87,575.32,UP,HOLD,0.5499999999999545,"[0.5200000000000955, 0.5499999999999545]"
129,2023-11-07 12:15:00,576.5,577.05,574.35,576.0,1953969,575.89,575.41,UP,HOLD,0.4800000000000182,"[0.5500000000000682, 0.4800000000000182]"
130,2023-11-07 13:15:00,576.05,580.0,576.0,579.2,2525075,576.55,575.88,UP,HOLD,0.6699999999999591,"[0.5499999999999545, 0.6699999999999591]"
131,2023-11-07 14:15:00,579.05,579.9,578.0,579.3,2579616,577.1,576.31,UP,HOLD,0.7900000000000773,"[0.4800000000000182, 0.7900000000000773]"
132,2023-11-07 15:15:00,579.35,581.2,579.1,580.35,2092131,577.75,576.81,UP,HOLD,0.9400000000000546,"[0.6699999999999591, 0.9400000000000546]"
133,2023-11-08 09:15:00,581.9,582.5,580.0,580.0,2194723,578.2,577.21,UP,HOLD,0.9900000000000091,"[0.7900000000000773, 0.9900000000000091]"
134,2023-11-08 10:15:00,580.05,581.4,579.0,580.7,1716655,578.7,577.65,UP,HOLD,1.0500000000000682,"[0.9400000000000546, 1.0500000000000682]"
135,2023-11-08 11:15:00,580.7,581.5,579.9,580.7,1097843,579.1,578.03,UP,HOLD,1.07000000000005,"[0.9900000000000091, 1.07000000000005]"
136,2023-11-08 12:15:00,580.7,581.15,579.2,580.0,1647180,579.28,578.28,UP,HOLD,1.0,"[1.0500000000000682, 1.0]"
137,2023-11-08 13:15:00,580.0,581.5,579.9,581.05,2212260,579.63,578.62,UP,HOLD,1.009999999999991,"[1.07000000000005, 1.009999999999991]"
138,2023-11-08 14:15:00,580.85,581.35,579.05,580.25,4864288,579.76,578.83,UP,HOLD,0.92999999999995,"[1.0, 0.92999999999995]"
139,2023-11-08 15:15:00,580.25,580.75,579.5,580.4,1698019,579.89,579.02,UP,HOLD,0.8700000000000045,"[1.009999999999991, 0.8700000000000045]"
140,2023-11-09 09:15:00,581.05,581.85,579.15,579.45,1908386,579.8,579.08,UP,HOLD,0.7199999999999136,"[0.92999999999995, 0.7199999999999136]"
141,2023-11-09 10:15:00,579.35,579.5,576.5,577.15,2153645,579.27,578.84,UP,HOLD,0.42999999999995,"[0.8700000000000045, 0.42999999999995]"
142,2023-11-09 11:15:00,577.15,578.85,576.6,578.0,2766764,579.02,578.73,UP,HOLD,0.2899999999999636,"[0.7199999999999136, 0.2899999999999636]"
143,2023-11-09 12:15:00,578.0,578.85,576.9,577.5,1635667,578.71,578.58,UP,HOLD,0.12999999999999545,"[0.42999999999995, 0.12999999999999545]"
144,2023-11-09 13:15:00,577.45,578.95,577.2,578.7,1348241,578.71,578.59,UP,HOLD,0.12000000000000455,"[0.2899999999999636, 0.12000000000000455]"
145,2023-11-09 14:15:00,578.5,579.3,577.8,578.5,1978891,578.67,578.58,UP,HOLD,0.08999999999991815,"[0.12999999999999545, 0.08999999999991815]"
146,2023-11-09 15:15:00,578.55,578.7,577.6,577.6,640491,578.45,578.46,DOWN,PE,-0.009999999999990905,"[0.12000000000000455, -0.009999999999990905]"
147,2023-11-10 09:15:00,577.75,578.9,575.65,578.45,969881,578.45,578.46,DOWN,HOLD,-0.009999999999990905,"[0.08999999999991815, -0.009999999999990905]"
148,2023-11-10 10:15:00,578.55,579.25,577.65,577.95,429450,578.35,578.39,DOWN,HOLD,-0.03999999999996362,"[-0.009999999999990905, -0.03999999999996362]"
149,2023-11-10 11:15:00,577.95,579.5,577.5,578.5,996599,578.38,578.41,DOWN,HOLD,-0.029999999999972715,"[-0.009999999999990905, -0.029999999999972715]"
150,2023-11-10 12:15:00,578.5,580.5,577.65,579.1,1227614,578.53,578.49,UP,CE,0.03999999999996362,"[-0.03999999999996362, 0.03999999999996362]"
151,2023-11-10 13:15:00,579.1,579.95,578.5,579.35,1130283,578.69,578.6,UP,HOLD,0.09000000000003183,"[-0.029999999999972715, 0.09000000000003183]"
152,2023-11-10 14:15:00,579.25,579.8,578.05,579.3,1440638,578.81,578.69,UP,HOLD,0.11999999999989086,"[0.03999999999996362, 0.11999999999989086]"
153,2023-11-10 15:15:00,579.3,580.9,579.0,580.25,575095,579.1,578.88,UP,HOLD,0.22000000000002728,"[0.09000000000003183, 0.22000000000002728]"
154,2023-11-12 18:15:00,584.6,584.6,580.3,580.8,1944795,579.44,579.12,UP,HOLD,0.32000000000005,"[0.11999999999989086, 0.32000000000005]"
155,2023-11-13 09:15:00,581.0,581.0,577.0,577.05,1390013,578.96,578.86,UP,HOLD,0.10000000000002274,"[0.22000000000002728, 0.10000000000002274]"
156,2023-11-13 10:15:00,577.15,577.5,575.2,577.0,2615282,578.57,578.63,DOWN,PE,-0.05999999999994543,"[0.32000000000005, -0.05999999999994543]"
157,2023-11-13 11:15:00,577.0,579.6,576.65,579.3,1532747,578.72,578.71,UP,HOLD,0.009999999999990905,"[0.10000000000002274, 0.009999999999990905]"
158,2023-11-13 12:15:00,579.3,579.55,578.1,578.75,1537482,578.72,578.72,RANGE,HOLD,0.0,"[-0.05999999999994543, 0.0]"
159,2023-11-13 13:15:00,578.85,579.4,578.25,579.25,1206096,578.83,578.79,UP,HOLD,0.04000000000007731,"[0.009999999999990905, 0.04000000000007731]"
160,2023-11-13 14:15:00,579.2,582.5,578.5,581.3,2233993,579.32,579.1,UP,CE,0.22000000000002728,"[0.0, 0.22000000000002728]"
161,2023-11-13 15:15:00,581.25,582.1,580.9,581.75,763273,579.81,579.43,UP,HOLD,0.37999999999999545,"[0.04000000000007731, 0.37999999999999545]"
162,2023-11-15 09:15:00,587.25,588.0,583.3,583.6,2745893,580.57,579.95,UP,HOLD,0.6200000000000045,"[0.22000000000002728, 0.6200000000000045]"
163,2023-11-15 10:15:00,583.6,585.1,582.65,584.35,1308019,581.32,580.5,UP,HOLD,0.82000000000005,"[0.37999999999999545, 0.82000000000005]"
164,2023-11-15 11:15:00,584.35,585.5,584.1,585.15,1368995,582.09,581.08,UP,HOLD,1.009999999999991,"[0.6200000000000045, 1.009999999999991]"
165,2023-11-15 12:15:00,585.1,586.0,584.35,585.6,1353622,582.79,581.65,UP,HOLD,1.1399999999999864,"[0.82000000000005, 1.1399999999999864]"
166,2023-11-15 13:15:00,585.65,585.75,584.55,585.5,1400227,583.33,582.13,UP,HOLD,1.2000000000000455,"[1.009999999999991, 1.2000000000000455]"
167,2023-11-15 14:15:00,585.5,585.75,584.0,584.9,2397014,583.65,582.48,UP,HOLD,1.169999999999959,"[1.1399999999999864, 1.169999999999959]"
168,2023-11-15 15:15:00,584.9,585.5,583.95,584.0,821801,583.72,582.67,UP,HOLD,1.0500000000000682,"[1.2000000000000455, 1.0500000000000682]"
